Dia da Semana,Características reais da sala,Características da sala pedida para a aula,Turno,﻿Curso,Unidade de execução,Turnos com capacidade superior à capacidade das características das salas,Fim,Início,Inscritos no turno (no 1º semestre é baseado em estimativas),Turma,Turno com inscrições superiores à capacidade das salas,Lotação,Sala da aula,Dia
Língua Espanhola,11:00:00,FALSO,LHMC,"ISCTE-IUL,LCP,LS-PL,CI-CT1,00670TP02,LS,LP,MIA",Seg,FALSO,23
Língua Espanhola,11:00:00,FALSO,LHMC,"ISCTE-IUL,LCP,LS-PL,CI-CT1,00670TP02,LS,LP,MIA",Seg,FALSO,23
Língua Espanhola,11:00:00,FALSO,LHMC,"ISCTE-IUL,LCP,LS-PL,CI-CT1,00670TP02,LS,LP,MIA",Seg,FALSO,23
Língua Espanhola,11:00:00,FALSO,LHMC,"ISCTE-IUL,LCP,LS-PL,CI-CT1,00670TP02,LS,LP,MIA",Seg,FALSO,23
Língua Espanhola,11:00:00,FALSO,LHMC,"ISCTE-IUL,LCP,LS-PL,CI-CT1,00670TP02,LS,LP,MIA",Seg,FALSO,23
Língua Espanhola,11:00:00,FALSO,LHMC,"ISCTE-IUL,LCP,LS-PL,CI-CT1,00670TP02,LS,LP,MIA",Seg,FALSO,23
,,,02582PL01,DCCo,Tese em Ciências da Comunicação III,VERDADEIRO,,,0,,FALSO,,,
Seg,,Sala Aulas Mestrado,01714TP01,MPP,Marketing Político,FALSO,22:30:00,20:30:00,12,MPPA1,FALSO,,,11/30/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,01714TP01,MPP,Marketing Político,FALSO,22:30:00,20:30:00,12,MPPA1,FALSO,50,2E07,11/23/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,01714TP01,MPP,Marketing Político,FALSO,22:30:00,20:30:00,12,MPPA1,FALSO,50,2E07,11/16/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,01714TP01,MPP,Marketing Político,FALSO,22:30:00,20:30:00,12,MPPA1,FALSO,50,2E07,11/9/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,01714TP01,MPP,Marketing Político,FALSO,22:30:00,20:30:00,12,MPPA1,FALSO,50,2E07,11/2/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,01714TP01,MPP,Marketing Político,FALSO,22:30:00,20:30:00,12,MPPA1,FALSO,50,2E07,10/26/2015
Seg,"Sala Aulas Mestrado Plus,Sala Aulas Mestrado,01714TP01,MPP,Marketing Político,FALSO,22:30:00,20:30:00,12,MPPA1,FALSO,50,2E07,10/19/2015
